id,slug,naziv,naziv_prikaz,kratki_naziv,registar,id_u_registru,registarski_broj,oib,status,datum_statusa,datum_upisa,datum_osnivanja,pravni_oblik,kategorija,pouzdanost,bodovi,signali,sjediste,ulica,kucni_broj,mjesto,naselje,opcina_grad,zupanija,postanski_broj,strano_sjediste,lat,lng,izvor_koordinata,biskupija,izvor_biskupije,email,web,telefon,telefon_e164,iban,predsjednik,uloga_predsjednika,ciljevi,ciljane_skupine,djelatnosti,rno_url,izvori
651,udruga-za-resocijalizaciju-i-reintegraciju-staro-za-novo-split-2768,"UDRUGA ZA RESOCIJALIZACIJU I REINTEGRACIJU ""STARO ZA NOVO""","Udruga za Resocijalizaciju i Reintegraciju ""Staro za Novo""","""Staro za novo""",registar-udruga,43982,17003067,39777532768,AKTIVAN,,2007-12-31,2007-10-25,UDRUGA,molitvena,niska,3.0,"[""djelatnost:3.2.1."", ""djelatnost:3.2.2."", ""djelatnost:3.1.1.""]","Ulica slobode 24, Split",Ulica slobode,24,Split,Split,Split,Splitsko-dalmatinska,21000,,43.51224524,16.44935909,dgu-adresa,Splitsko-makarska Nadbiskupija,derivirano-crkve.domovina.ai,cross4theworld@gmail.com,,091-8866738,+385918866738,,Matko Kunac,Potpredsjednik,"Udruga je osnovana  sa ciljem ostvarivanja pune resocijalizacije, kroz realizaciju osnovnih ljudskih prava i humanu reintegraciju u društvenu zajednicu, socijalno ugroženih i marginaliziranih skupina.","MLADI S RIZIČNIM OBLICIMA PONAŠANJA, NEZAPOSLENI, OSOBE S PSIHO-SOCIJALNIM TEŠKOĆAMA, OSOBE U RIZIKU OD SIROMAŠTVA I SIROMAŠNE OSOBE, OVISNICI I LIJEČENI OVISNICI","[""11.1.6. Pomoć i podrška nezaposlenima"", ""11.1.5. Pomoć i podrška osobama u riziku od siromaštva i socijalne isključenosti"", ""11.2.1. Savjetovanje i pomaganje"", ""11.1.4. Pomoć i podrška mladima"", ""11.2.13. Organiziranje slobodnih aktivnosti"", ""11.2.5. Pomoć pri uključivanju u programe odgoja i redovitog obrazovanja (integracija)"", ""11.2.3. Psihosocijalna podrška"", ""3.2.1. Promicanje duhovnih aktivnosti"", ""7.11. Ostale djelatnosti iz područja ostvarivanja i zaštite ljudskih prava"", ""3.2.2. Poticanje osobnog razvoja"", ""11.2.11. Stručna pomoć i podrška"", ""11.2.10. Prevencija ovisnosti"", ""3.1.1. Promicanje religijske etike""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=26652,"[""datagovhr:registar-udruga""]"
1117,udruga-siletici-za-ocuvanje-kulturne-i-prirodne-bastine-prigorja-dobrodol-7739,UDRUGA ŠILETIĆI - ZA OČUVANJE KULTURNE I PRIRODNE BAŠTINE PRIGORJA,Udruga Šiletići - za Očuvanje Kulturne i Prirodne Baštine Prigorja,UDRUGA ŠILETIĆI,registar-udruga,270981,21015595,39090607739,AKTIVAN,,2026-05-14,2026-03-26,UDRUGA,kultura,niska,3.0,"[""opis:duhovnost"", ""djelatnost:3.1.3."", ""djelatnost:3.2.3.""]","Šiletići 15, Dobrodol",Šiletići,15,Dobrodol,Dobrodol,Grad Zagreb,Grad Zagreb,10360,,45.86458679,16.0937964,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,udruga.siletici@gmail.com,,091-520-2850,+385915202850,,Juraj Rončević,Dopredsjednik,"Zaštita i obnova tradicijskih građevina i objekata (bunara, puteva, međa); Njegovanje duhovne i vjerske tradicije lokalnog stanovništva; Unapređenje infrastrukture za djecu, mlade i društveni život zajednice; Promicanje povijesti obitelji i kraja Prigorja; Prenošenje znanja o starim običajima, jeziku i načinu života mlađim generacijama; Očuvanje i promicanje tradicijske gastronomije, autohtonih recepata i kulture stola prigorskog kraja.","DJECA - OPĆA POPULACIJA, GRAĐANI – OPĆA POPULACIJA, LJUBITELJI ŽIVOTINJA, LOKALNA I REGIONALNA SAMOUPRAVA, LOVCI, MLADI - OPĆA POPULACIJA, OBITELJI, OSOBE STARIJE ŽIVOTNE DOBI, REGIONALNA ILI LOKALNA SAMOUPRAVA, TURISTI, UDRUGE I GRAĐANSKE INICIJATIVE, VOLONTERI, ŽENE RURALNIH PODRUČJA","[""6.1.1. Zaštita i očuvanje materijalnih kulturnih dobara"", ""2.4.1. Promicanje i razvoj volonterstva"", ""3.1.3. Ostale religijske/vjerničke djelatnosti"", ""2.13. Razvoj lokalne zajednice"", ""15.5. Ostale djelatnosti iz područja zaštite okoliša i prirode"", ""6.1.7. Zaštita i očuvanje nematerijalnih kulturnih dobara"", ""3.2.3. Ostale duhovne djelatnosti""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=64423,"[""datagovhr:registar-udruga""]"
304,udruga-zena-maslina-gustirna-0935,"UDRUGA ŽENA ""MASLINA""","Udruga Žena ""Maslina""",,registar-udruga,41560,17002818,75908970935,BRISAN,2023-07-10,2007-02-21,2006-12-15,UDRUGA,karitativna,niska,3.0,"[""opis:red"", ""opis:krscanski"", ""opis:svetac""]","Gustirna, Gustirna",Gustirna,,Gustirna,Gustirna,Marina,Splitsko-dalmatinska,,,43.54961723851872,16.097757318644856,naselje-teziste,Šibenska Biskupija,derivirano-crkve.domovina.ai,,,,,,Anita Šalov,Predsjednica,,,"[""8.99.99. OSTALE KULTURNE DJELATNOSTI""]",,"[""datagovhr:registar-udruga""]"
793,udruga-zena-starih-pavljana-nova-nada-starih-pavljana-stari-pavljani-9918,"UDRUGA ŽENA STARIH PAVLJANA ""NOVA NADA STARIH PAVLJANA""","Udruga Žena Starih Pavljana ""Nova Nada Starih Pavljana""",,registar-udruga,207194,07001512,42435839918,AKTIVAN,,2017-07-06,2017-05-24,UDRUGA,hodocasnicka,niska,3.0,"[""opis:hodocasce"", ""opis:crkva"", ""opis:duhovnost""]","Stari Pavljani 81, Stari Pavljani",Stari Pavljani,81,Stari Pavljani,Stari Pavljani,Bjelovar,Bjelovarsko-bilogorska,43000,,45.85812898,16.88404404,dgu-adresa,Bjelovarsko-križevačka Biskupija,derivirano-crkve.domovina.ai,,,099 3505 865,+385993505865,,Sabina Pil,Predsjednica,"Zadovoljenje potreba članica u socijalnom, kulturnom, estetskom, humanitarnom, zdravstvenom, sportskom, edukativnom i turističkom pogledu.",ŽENE,"[""6.1.8. Općekulturna (kulturološka) djelatnost"", ""11.1.1. Pomoć i podrška starijim osobama"", ""6.1.1. Zaštita i očuvanje materijalnih kulturnih dobara"", ""6.2.4. Kulturno-umjetnički (glazbeni i scenski) amaterizam""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=53552,"[""datagovhr:registar-udruga""]"
367,udruga-borislav-kapelna-cret-viljevski-3251,"Udruga ""Borislav"" Kapelna","Udruga ""Borislav"" Kapelna","""Borislav""",registar-udruga,58710,14003702,40748503251,BRISAN,2024-07-30,2012-11-28,2012-11-21,UDRUGA,zupna,niska,3.0,"[""naziv:crkva"", ""opis:crkva""]","KRALJA TOMISLAVA 48, Cret Viljevski",KRALJA TOMISLAVA,48,Cret Viljevski,Cret Viljevski,Viljevo,Osječko-baranjska,31531,,45.72879631,18.065526,dgu-adresa,Đakovačko-osječka Nadbiskupija,derivirano-crkve.domovina.ai,a.tibinac@gmail.com,,091 7602 293,+385917602293,,Alen Tibinac,Predsjednik,-	Očuvanje kulturnih spomenika i zaštite okoliša sela Kapelna,"GRAĐANI – OPĆA POPULACIJA, MLADI - OPĆA POPULACIJA","[""20.99.99. OSTALE DJELATNOSTI"", ""15.2.4. Podizanje svijesti i aktivnosti za smanjenje otpada i povećanje recikliranja"", ""6.2.4. Kulturno-umjetnički (glazbeni i scenski) amaterizam"", ""15.1.1. Očuvanje posebno vrijednih prirodnih područja i drugih prostora"", ""6.2.1. Dramske umjetnosti"", ""15.4. Zaštita životinja"", ""15.1.2. Očuvanje prirodne baštine"", ""6.4.1. Književno stvaralaštvo"", ""6.1.1. Zaštita i očuvanje materijalnih kulturnih dobara"", ""15.5. Ostale djelatnosti iz područja zaštite okoliša i prirode"", ""6.3.3. Fotografska umjetnost""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=50881,"[""datagovhr:registar-udruga""]"
1192,udruga-ekosspiritus-sipacki-breg-9668,Udruga Ekosspiritus,Udruga Ekosspiritus,EKOSSPIRITUS,registar-udruga,20641,01001272,79594969668,AKTIVAN,,2001-11-19,2001-10-08,UDRUGA,molitvena,niska,3.0,"[""opis:katolic"", ""opis:caritas"", ""opis:pokret"", ""opis:vjernici"", ""opis:krscanski"", ""opis:crkva"", ""opis:svetac"", ""opis:duhovnost"", ""djelatnost:3.2.1."", ""djelatnost:3.2.2."", ""opis:-protestant"", ""opis:-ezoterija""]","Cerina 61, Šipački Breg",Cerina,61,Šipački Breg,Šipački Breg,Samobor,Zagrebačka,10430,,45.77608112,15.63471802,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,ekosspiritus@gmail.com,,,,,Katarina Pučar,Dopredsjednica,"promicati ekološku svijest u vidu zdravog življenja i promicanje zdrave hrane; ponuditi „planinsku duhovnost“ koja se ogleda u pješačkim pohodima, upoznavanjem domovine, kao i poniranje u dubinu otajstva koje nudi Katolička crkva; riječi evanđelja pokušati staviti u kontekst današnjeg vremena kroz prigodne kateheze, meditacije, razmišljajući nad tekstovima Biblije; okupljanjem obitelji potaknuti na društveno djelovanje u vlastitoj sredini a osobito potaknuti na volontiranje i zalaganje za opće dobro; omogućiti duhovne sadržaje koji pomažu čovjeku u susretu s Bogom, bližnjima i samim sobom; na primjeru života kršćanskih svetaca pokušati graditi međuljudske odnose i osobnu duhovnost, na poseban način članovima približiti živote svetaca : sv. Jurja, sv. Patrika, sv. Bernarda i sv. Izidora Seljaka; potaknuti članove na karitativno djelovanje prema bližnjemu kroz neposrednu pomoć onima kojima je ona potrebna; tražiti u tradiciji hrvatskog naroda različite elemente duhovnosti; graditi naciju, zalagati se za duhovnu obnovu Domovine; upoznavati planine domovine i svijeta i u planini planirati susrete koji čovjeka odmaraju i potiču na duhovnost, te mijenjanje navika koji ljudi donose iz svakodnevnice; znati posebno cijeniti zaštićene cjeline naše domovine a naročito nacionalne parkove, te upoznavati njihove posebnosti; učiti članstvo općem dobru, socijalnom poduzetništvu, volontiranju i stavu raspoloživosti i solidarnosti s onima kojima je pomoć potrebna; posebnosti samoborske tradicije, kršćanskih korijena, običaja i kulture ugrađivati u programe Udruge; učiti članove obrađivanju vrta, voćnjaka i cvjetnjaka te tradicionalnom obrađivanju zemlje; prikupljanjem domaćeg sjemena povrća i cvijeća prezentirati uzgoj povrća i cvijeća na tradicionalan način; educirati članstvo o vrijednostima znanja i vještina koje smo naslijedili od naših starih, naraštaja koji su živjeli prije nas; etnografskom zbirkom potaknuti članove na čuvanje baštine; upoznavati biljke koje rastu u Samoborskom gorju i znati ih pravilno upotrijebiti.","DJECA - OPĆA POPULACIJA, OBITELJI, PREDSTAVNICI MEDIJA","[""3.2.1. Promicanje duhovnih aktivnosti"", ""4.6.1. Promicanje razvoja socijalnog poduzetništva"", ""3.2.2. Poticanje osobnog razvoja"", ""6.1.7. Zaštita i očuvanje nematerijalnih kulturnih dobara"", ""6.1.1. Zaštita i očuvanje materijalnih kulturnih dobara"", ""4.8. Turizam""]",,"[""datagovhr:registar-udruga""]"
1030,udruga-kapelske-zene-kapela-podravska-7682,Udruga Kapelske žene,Udruga Kapelske žene,,registar-udruga,267836,05002273,11471417682,AKTIVAN,,2024-04-25,2024-04-01,UDRUGA,zupna,niska,3.0,"[""naziv:crkva"", ""opis:crkva""]","Kapela Podravska 114A, Kapela Podravska",Kapela Podravska,114A,Kapela Podravska,Kapela Podravska,Veliki Bukovec,Varaždinska,42231,,46.27847488,16.69230386,dgu-adresa,Varaždinska Biskupija,derivirano-crkve.domovina.ai,kapelske.zene1@gmail.com,,098-636-649,+38598636649,,Lea Zdelar,Predsjednica,"osnovana u cilju promicanja, razvitka i unapređenja interesa žena u društvu te njegovanje kulturoloških obilježja i običaja kraja.",ŽENE,"[""6.1.9. Ostale djelatnosti kulturne baštine"", ""6.1.1. Zaštita i očuvanje materijalnih kulturnih dobara""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=62192,"[""datagovhr:registar-udruga""]"
181,udruga-bivsih-hrvatskih-vojnika-varazdinske-zupanije-6883,Udruga bivših hrvatskih vojnika Varaždinske županije,Udruga bivših hrvatskih vojnika Varaždinske županije,UBHV Varaždinske županije,registar-udruga,17045,05000629,96457196883,AKTIVAN,,1998-04-27,1993-06-12,UDRUGA,karitativna,niska,3.0,"[""opis:pokret"", ""opis:duhovnost"", ""djelatnost:3.2.1.""]","Ulica Silvija Strahimira Kranjčevića 1/II, Varaždin",Ulica Silvija Strahimira Kranjčevića 1/II,,Varaždin,Varaždin,Varaždin,Varaždinska,,,46.309535046590064,16.336564987846923,naselje-teziste,Varaždinska Biskupija,derivirano-crkve.domovina.ai,,,099-4029-633,+385994029633,,Josipa Flis,Predsjednica,"promicanje, razvitak i unapređenje skrbi za duhovno dobro bivših hrvatskih vojnika i članova njihovih obitelji te pružanje pomoći sa svrhom otklanjanja ratnih posljedica","BRANITELJI - VETERANI, GRAĐANI – OPĆA POPULACIJA, OBITELJI BRANITELJA","[""3.2.1. Promicanje duhovnih aktivnosti"", ""11.1.7. Pomoć i podrška obitelji"", ""1.4. Ostale djelatnosti iz područja branitelja i stradalnika"", ""2.2. Promicanje nenasilja i izgradnja mira""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=4816,"[""datagovhr:registar-udruga""]"
918,udruga-hrvatskih-branitelja-dragovoljaca-domovinskog-rata-bukovlje-kordusevci-3725,Udruga hrvatskih branitelja dragovoljaca Domovinskog rata Bukovlje,Udruga hrvatskih branitelja dragovoljaca Domovinskog rata Bukovlje,UHBDDR Bukovlje,registar-udruga,226666,12001833,33093113725,AKTIVAN,,2020-01-09,2019-08-05,UDRUGA,hodocasnicka,niska,3.0,"[""opis:hodocasce"", ""opis:crkva"", ""opis:duhovnost""]","Korduševci  15, Korduševci",Korduševci,15,Korduševci,Korduševci,Bukovlje,Brodsko-posavska,35211,,45.21988873,18.09096682,dgu-adresa,Đakovačko-osječka Nadbiskupija,derivirano-crkve.domovina.ai,krunoslavbasic@gmail.com,,098-9605-942,+385989605942,,Krunoslav Bašić,Predsjednik,"-	promicanja vrednota Domovinskog rata,
-	očuvanja digniteta sudionika Domovinskog rata,
-	jačanja časti i ugleda hrvatskih branitelja iz Domovinskog rata u društvu i
-	zaštite i promicanje interesa hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji.","BRANITELJI - VETERANI, GRAĐANI – OPĆA POPULACIJA, OBITELJI BRANITELJA","[""1.1.2. Zaštita interesa hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji"", ""1.1.1. Promicanje vrijednosti Domovinskog rata"", ""7.2. Prava aktivnih sudionika i stradalnika Domovinskog rata""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=56828,"[""datagovhr:registar-udruga""]"
456,udruga-za-poboljsanje-kvalitete-zivota-cista-pozitiva-zagreb-8436,"Udruga za poboljšanje kvalitete života "" Čista pozitiva""","Udruga za poboljšanje kvalitete života ""Čista pozitiva""","""Čista pozitiva""",registar-udruga,52711,05001557,49587928436,AKTIVAN,,2010-11-29,2010-11-10,UDRUGA,molitvena,niska,3.0,"[""djelatnost:3.1.2."", ""djelatnost:3.1.1.""]","Dubička ulica 12, Zagreb",Dubička ulica,12,Zagreb,Zagreb,Grad Zagreb,Grad Zagreb,10109,,45.8131564,15.92925298,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,cista.pozitiva@gmail.com,,095 5171 229,+385955171229,,Daša Grbović,Dopredsjednica,"Ciljevima udruge se smatraju pomoć ciljanim skupinama oko učenja, prilagodbe u zajednicu, poboljšanja komunikacijskih i motoričkih sposobnosti, poboljšanja kvalitete obrazovanja i načina usvajanja gradiva, poboljšanja kvalitete življenja kroz promociju, razvoj i poticanje na bavljenje izvedbenom umjetnošću. Ciljevima udruge smatraju se prevencija neprihvatljivog ponašanja ciljanih skupina, poboljšanje kvalitete života ciljanih skupina kroz podršku, savjetovanja i organiziranje
radionica sukladno iskazanim potrebama. Ciljevima udruge smatra se ostvarivanje suradnje sa hrvatskim nacionalnim manjinama, međunarodna suradnja.","AZILANTI, DJECA - OPĆA POPULACIJA, DJECA BEZ ODGOVARAJUĆE RODITELJSKE SKRBI, DJECA S POREMEĆAJIMA U PONAŠANJU, DJECA S TEŠKOĆAMA U RAZVOJU, MANJINE - OPĆENITO, MLADI - OPĆA POPULACIJA, MLADI S POREMEĆAJIMA U PONAŠANJU, NACIONALNE MANJINE, OBITELJI, ODGOJNO-OBRAZOVNE USTANOVE, OSOBE S INVALIDITETOM, OSOBE STARIJE ŽIVOTNE DOBI, OVISNICI I LIJEČENI OVISNICI, RURALNO STANOVNIŠTVO, UČENICI","[""6.2.1. Dramske umjetnosti"", ""6.2.2. Plesne umjetnosti"", ""14.1.8. Ostale djelatnosti preventivnog djelovanja, unapređenja i zaštite zdravlja"", ""6.2.3. Glazba i glazbeno-scenske umjetnosti"", ""8.4. Ostale djelatnosti iz područja međunarodne suradnje"", ""7.11. Ostale djelatnosti iz područja ostvarivanja i zaštite ljudskih prava"", ""11.2.12. Skraćeni boravak, igraonice, radionice, klubovi"", ""9.3. Ostale djelatnosti iz područja obrazovanja, znanosti i istraživanja"", ""9.1.4. Potpora obrazovanju djece i mladih s posebnim potrebama"", ""10.1.1. Edukacija za održivi razvoj ruralnih područja"", ""7.8. Zaštita hrvatske dijaspore"", ""6.2.4. Kulturno-umjetnički (glazbeni i scenski) amaterizam"", ""7.10. Njegovanje zavičajnog identiteta"", ""9.1.8. Odgoj i obrazovanje za zaštitu i promicanje povijesno-kulturne baštine i nacionalnoga identiteta"", ""6.9. Ostale djelatnosti iz područja kulture i umjetnosti"", ""15.5. Ostale djelatnosti iz područja zaštite okoliša i prirode"", ""2.13. Razvoj lokalne zajednice"", ""2.1. Obrazovanje za demokratsko građanstvo"", ""3.1.2. Promocija i izgradnja međuvjerničkog dijaloga"", ""11.2.17. Ostale djelatnosti socijalnih usluga"", ""15.3. Energetska učinkovitost i obnovljivi izvori energije"", ""11.3.5. Ostale djelatnosti humanitarne pomoći"", ""6.2.6. Glazbene i scenske manifestacije i festivali"", ""11.1.11. Ostala djelatnosti socijalne pomoći i podrške"", ""8.3. Međunarodna prijateljstva"", ""2.2. Promicanje nenasilja i izgradnja mira"", ""14.3. Prevencija i suzbijanje ovisnosti"", ""7.5.19. Ostale djelatnosti suzbijanja i zaštite od diskriminacije"", ""2.12. Razvoj civilnoga društva"", ""9.1.1. Razvoj i promicanje odgoja i obrazovanja"", ""6.1.9. Ostale djelatnosti kulturne baštine"", ""7.9. Zaštita prava nacionalne manjine"", ""3.1.1. Promicanje religijske etike""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=37125,"[""datagovhr:registar-udruga""]"
682,udruga-za-poboljsanje-kvalitete-zivota-virent-samobor-7264,Udruga za poboljšanje kvalitete života Virent,Udruga za poboljšanje kvalitete života Virent,Virent,registar-udruga,63801,01003097,90282187264,AKTIVAN,,2014-08-29,2014-06-14,UDRUGA,molitvena,niska,3.0,"[""djelatnost:3.1.1."", ""djelatnost:3.2.2."", ""djelatnost:3.2.1.""]","Ulica Ivana Perkovca 74, Samobor",Ulica Ivana Perkovca,74,Samobor,Samobor,Samobor,Zagrebačka,10430,,45.80040573,15.71758729,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,ivana.mustafi@gmail.com,,099-3454-556,+385993454556,,Ivana Mustafić,Predsjednica,"prepoznavanje potreba i pružanja podrške unutar razvoja obrazovanja, te poboljšanja kvalitete života, rad s djecom i mladima s ciljem poboljšanja  uvjeta za ostvarivanje osobnog optimalnog razvoja, pružanja podrške razvoju obrazovanja, izgrađivanja pozitivnog stava prema sebi samima, svojoj okolini, učenju, znanju, osmišljavanju sadržaja za kvalitetno i smisleno provođenje slobodnog vremena.","DJECA - OPĆA POPULACIJA, LOKALNA I REGIONALNA SAMOUPRAVA, MLADI - OPĆA POPULACIJA, ODGOJNO-OBRAZOVNE USTANOVE, ODGOJNO-OBRAZOVNI DJELATNICI, RODITELJI, TIJELA DRŽAVNE UPRAVE, UČENICI","[""2.2. Promicanje nenasilja i izgradnja mira"", ""9.1.4. Potpora obrazovanju djece i mladih s posebnim potrebama"", ""11.2.12. Skraćeni boravak, igraonice, radionice, klubovi"", ""9.1.6. Odgoj i obrazovanje za zaštitu i promicanje ljudskih prava"", ""9.2.11. Izdavanje znanstvenih i stručnih publikacija"", ""11.2.1. Savjetovanje i pomaganje"", ""4.6.1. Promicanje razvoja socijalnog poduzetništva"", ""3.1.1. Promicanje religijske etike"", ""11.2.9. Prevencija nasilja"", ""9.2.7. Umjetnost"", ""11.2.11. Stručna pomoć i podrška"", ""9.1.7. Poticanje kreativnosti i stvaralaštva u odgoju i obrazovanju"", ""11.1.1. Pomoć i podrška starijim osobama"", ""11.2.13. Organiziranje slobodnih aktivnosti"", ""2.3.1. Prevencija nasilja među djecom i mladima"", ""9.1.10. Međunarodna suradnja i mobilnost u obrazovanju"", ""6.4.7. Ostale književno-nakladničke djelatnosti"", ""11.1.4. Pomoć i podrška mladima"", ""3.2.2. Poticanje osobnog razvoja"", ""11.2.3. Psihosocijalna podrška"", ""9.1.1. Razvoj i promicanje odgoja i obrazovanja"", ""3.2.1. Promicanje duhovnih aktivnosti"", ""8.3. Međunarodna prijateljstva"", ""6.1.8. Općekulturna (kulturološka) djelatnost"", ""11.1.2. Pomoć i podrška osobama s invaliditetom"", ""9.2.10. Organizacija domaćih i međunarodnih znanstvenih i znanstvenostručnih skupova, škola, kongresa i seminara"", ""2.4.1. Promicanje i razvoj volonterstva"", ""9.1.9. Odgoj i obrazovanje za održivi razvoj, zdrave načine života i očuvanje prirode"", ""15.1.2. Očuvanje prirodne baštine"", ""15.2.4. Podizanje svijesti i aktivnosti za smanjenje otpada i povećanje recikliranja"", ""9.1.3. Izvaninstitucionalni odgoj i obrazovanje"", ""4.11. Ostale djelatnosti iz područja gospodarstva""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=58178,"[""datagovhr:registar-udruga""]"
25,udruga-za-promicanje-vjerskog-odgoja-i-krscanskih-vrijednosti-andelek-sveta-nedelja-2427,"Udruga za promicanje vjerskog odgoja i kršćanskih vrijednosti ""Anđelek""","Udruga za promicanje vjerskog odgoja i kršćanskih vrijednosti ""Anđelek""","""Anđelek""",registar-udruga,49254,01002237,21794292427,AKTIVAN,,2009-10-23,2009-09-10,UDRUGA,obrazovanje,niska,3.0,"[""naziv:krscanski"", ""naziv:duhovnost""]","Stari put 2, Sveta Nedelja",Stari put,2,Sveta Nedelja,Sveta Nedelja,Sveta Nedelja,Zagrebačka,10431,,45.79157053,15.76600278,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,,,,,,Sabrina Pejić,Predsjednica,,,"[""20.99.99. OSTALE DJELATNOSTI""]",,"[""datagovhr:registar-udruga""]"
467,udruga-za-sport-kulturu-i-rekreacijski-razvoj-blato-blato-na-cetini-4982,"Udruga za sport, kulturu i rekreacijski  razvoj ""BLATO"" Blato na Cetini","Udruga za sport, kulturu i rekreacijski razvoj ""BLATO"" Blato na Cetini","""BLATO""",registar-udruga,63266,17005085,57695074982,AKTIVAN,,2014-05-19,2014-01-18,UDRUGA,sport,niska,3.0,"[""opis:red"", ""opis:marija""]","Ulica kralja Tomislava 29, Blato Na Cetini",Ulica kralja Tomislava,29,Blato Na Cetini,Blato na Cetini,Omiš,Splitsko-dalmatinska,,,43.49502984013325,16.836276678046904,naselje-teziste,Splitsko-makarska Nadbiskupija,derivirano-crkve.domovina.ai,pasko.karlo@gmail.com,,098 946 5659,+385989465659,,Ante Sladojević,Dopredsjednik,"razvijanje  sportske, kulturne i rekreacijske aktivnosti","DJECA - OPĆA POPULACIJA, GRAĐANI – OPĆA POPULACIJA, MLADI - OPĆA POPULACIJA","[""6.1.7. Zaštita i očuvanje nematerijalnih kulturnih dobara"", ""6.4.6. Književno-nakladničke manifestacije"", ""6.4.5. Literarni amaterizam"", ""12.4.5. Organiziranje sportsko rekreacijskih natjecanja i sportsko rekreativnih edukativnih projekata i programa"", ""6.4.2. Knjižnična djelatnost"", ""6.4.1. Književno stvaralaštvo"", ""15.1.2. Očuvanje prirodne baštine"", ""12.4.6. Ostale djelatnosti sportske rekreacije"", ""12.9. Promocija sporta i zdravog načina življenja""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=47615,"[""datagovhr:registar-udruga""]"
24,udruga-sveta-klara-nova-kapela-batrina-0938,Udruga'' Sveta Klara''Nova Kapela-Batrina,Udruga'' Sveta Klara''Nova Kapela-Batrina,Udruga Sveta Klara,registar-udruga,49528,12001210,48828840938,BRISAN,2025-06-04,2009-11-24,2009-11-07,UDRUGA,zupna,niska,3.0,"[""naziv:crkva"", ""naziv:svetac""]","Kolodvorska 33, Batrina",Kolodvorska,33,Batrina,Batrina,Nova Kapela,Brodsko-posavska,35410,,45.19044942,17.65097869,dgu-adresa,Požeška Biskupija,derivirano-crkve.domovina.ai,,,,,,Hrvoje Rajković,Dopredsjednik Udruge,,,"[""10.3.1. TURISTIČKA DJELATNOST""]",,"[""datagovhr:registar-udruga""]"
224,vidi-prosudi-djeluj-zagreb-2167,VIDI PROSUDI DJELUJ,VIDI Prosudi Djeluj,VPD,registar-udruga,16767,00002053,90441052167,BRISAN,2024-11-15,2001-08-31,2001-07-02,UDRUGA,karitativna,niska,3.0,"[""opis:caritas"", ""opis:vjernici""]","Jordanovac 110, Zagreb",Jordanovac,110,Zagreb,Zagreb,Grad Zagreb,Grad Zagreb,10123,,45.82709972,15.99870912,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,,,,,,Miroslav Klobučar,Predsjednik Udruge,,,"[""20.99.99. OSTALE DJELATNOSTI""]",,"[""datagovhr:registar-udruga""]"
